SAMPLE_NAME	TEMP	DEPTH	pH	Mg	H2	H2S	CH4	ProkConc	EukConc	GrazingEffect_hr
Gorda Ridge_Non-vent_BSW	1.8	2010	7.8	53	NA	NA	NA	39100		255.3789347
Gorda Ridge_Non-vent_Plume	1.7	2725	NA	NA	NA	NA	NA	76900		
Gorda Ridge_Non-vent_Plume	1.8	2707	NA	NA	NA	NA	NA	NA		
Gorda Ridge_Vent_MtEdwards	40	2707	6	43.6	127	1.01	10.1	51439.52		700.7712862
Gorda Ridge_Vent_VentiLatte	11	2708	6.4	52.1	NA	NA	0.9	111192.5		1646.78986
Gorda Ridge_Vent_Candelabra	79	2730	5.5	36.5	21.9	NA	23.7	55076.66		902.8953769
Gorda Ridge_Vent_SirVentsAlot	72	2732	NA	52	NA	NA	NA	52998.29		1828.477083
Piccard_Non-vent_Background	4.46	4776	NA	53.7	NA	NA	NA	11860.187		
Piccard_Non-vent_Plume	4.46	4944	NA	NA	NA	NA	NA	51429.13	79.301	44.25909875
Piccard_Vent_Lotsoshrimp	19	4967	6.32	53.5	1.33	NA	11.87376	53878.136	230.91	
Piccard_Vent_Shrimpocalypse	85	4945	5.11	43.9	0	NA	27.53484	238585.68	454.8166667	11645.79429
Piccard_Vent_Lotsoshrimp	36	4967	5.92	51	22700	NA	11.46432	53878.136	230.91	
Von Damm_Non-vent_Background	4.181	2400	NA	NA	NA	NA	NA	34705.9161	91.838	127.0655159
Von Damm_Non-vent_Plume	4.208	1979	NA	NA	NA	NA	NA	16478.313	157.77	24.0256799
Von Damm_Vent_ArrowLoop	137	2309	5.69	18.1	11500	1.74	1893.66	10369.792		
Von Damm_Vent_WhiteCastle	108	2307	5.49	8.9	14500	1.96	2251.92	NA		
Von Damm_Vent_MustardStand	108	2374	5.63	19.4	9800	1.79	1819.9608	56677	259.77	
Von Damm_Vent_Ravelin2	94	2389.6	5.81	18	10200	1.37	1893.66	NA	661.23	7991.975683
Von Damm_Vent_OldManTree	121.6	2375.8	5.69	13.7	11600	1.77	1985.784	NA	349.86	1050.384859
Von Damm_Vent_ShrimpHole	21	2376	7.72	51.8	5.52744	NA	218.0268	NA	385.72	
Von Damm_Vent_X18	48	2377	6.99	28	NA	2.11	1310.208	111429.781	314.87	1166.281842
Von Damm_Vent_Bartizan	129	2307	5.8	22.7	9400	1.6	1617.288	16163.441		
Von Damm_Vent_Ravelin2	98.2	2388.9	5.81	18	10200	1.37	1893.66	NA	661.23	7991.975683
